Hodnota,Pocet Vyskytu,Kumulativni cetnost,Kumulativni relativni cetnost,Relativni cetnost
2,1,1,0.666666666666667,0.666666666666667
2.2,3,4,2.66666666666667,2
2.3,4,8,5.33333333333333,2.66666666666667
2.4,3,11,7.33333333333333,2
2.5,8,19,12.6666666666667,5.33333333333333
2.6,5,24,16,3.33333333333333
2.7,9,33,22,6
2.8,14,47,31.3333333333333,9.33333333333333
2.9,10,57,38,6.66666666666667
3,26,83,55.3333333333333,17.3333333333333
3.1,12,95,63.3333333333333,8
3.2,13,108,72,8.66666666666667
3.3,6,114,76,4
3.4,12,126,84,8
3.5,6,132,88,4
3.6,3,135,90,2
3.7,3,138,92,2
3.8,6,144,96,4
3.9,2,146,97.3333333333333,1.33333333333333
4,1,147,98,0.666666666666667
4.1,1,148,98.6666666666667,0.666666666666667
4.2,1,149,99.3333333333333,0.666666666666667
4.4,1,150,100,0.666666666666667
